"x","y","class",cluster
"1",-3.5767874962694597,-3.7738282135781303,3, 4
"2",1.123814730275396,-6.641107522870428,4, 2
"3",-1.00247428977429,-2.605140502767632,3, 4
"4",-1.344840608569474,3.90037604403311,1, 3
"5",0.70923656701734,-6.85558253258012,4, 2
"6",-3.89745794641944,-5.09771281395385,3, 4
"7",-3.03326308802872,-4.93580992367367,3, 4
"8",-2.797969950681587,3.0891968076707204,1, 3
"9",-2.754751985913036,4.3273420964808,1, 3
"10",-2.39974952385317,-4.46528778256544,3, 4
"11",-3.82998837508428,-4.44699441875514,3, 4
"12",-1.50755312610875,-2.8129202730484972,3, 4
"13",-2.427653963693589,3.39364568966805,1, 3
"14",-3.7434882177312,4.15962859243698,1, 3
"15",-3.9299372334995897,-6.01892753410074,3, 4
"16",-1.08361539099359,-3.1920677708996203,3, 4
"17",-3.2988617732247,3.84618501726282,1, 3
"18",-1.87105807142537,-1.606338148397719,3, 4
"19",-2.259132454634299,4.98385294081074,1, 3
"20",-4.12228489247845,5.60118420005358,1, 3
"21",-2.73913564742485,-5.35942487866604,3, 4
"22",-4.0538829114490795,3.40190403749952,1, 3
"23",-0.7373332519017399,2.40035525563666,1, 3
"24",-1.32611442407791,-1.9125167441609918,3, 4
"25",-1.706318992734269,4.40702224020259,1, 3
"26",-2.1395809517080804,-3.1090965501317402,3, 4
"27",-2.7399533798815603,-4.172499866700919,3, 4
"28",-2.66419411085514,-2.540550366188818,3, 4
"29",-2.137194073774569,3.26289304595581,1, 3
"30",-1.16299318040393,-2.8747542315941352,3, 4
"31",-1.104042460436905,4.2771718149973195,1, 3
"32",-1.58540901154139,-3.98341813656229,3, 4
"33",-2.738009914162628,5.13282610757457,1, 3
"34",-1.016245101600634,3.40933167876075,1, 3
"35",-2.38956050583255,-3.05116286346622,3, 4
"36",-2.197372629680573,2.2049550327943197,1, 3
"37",-2.684067914770128,2.17636498895659,1, 3
"38",-2.317848782023583,3.7727137762469,1, 3
"39",-2.187323115311379,3.99516135593894,1, 3
"40",1.60259527109621,-7.37765325029163,4, 2
"41",-1.023007636726216,2.8820972246753196,1, 3
"42",-4.22761584479842,-5.36864789986811,3, 4
"43",-2.128441761342601,4.22021472238816,1, 3
"44",-3.2456384181546096,-5.7587038702254105,3, 4
"45",-1.78487931491486,-3.21389833058327,3, 4
"46",-2.32582128324309,-2.418733022710534,3, 4
"47",-0.74660180645077,2.85887143080524,1, 3
"48",-1.800264310260259,3.2402418954582703,1, 3
"49",-2.42817330895085,-4.3962291976885,3, 4
"50",-3.8820978024828703,3.7312551999473,1, 3
"51",-4.099752806505601,-4.72248871724903,3, 4
"52",-2.826402416634692,2.9204546882971605,1, 3
"53",-2.0215423790185034,4.13172377842942,1, 3
"54",-2.01084452812318,-4.3016552309651495,3, 4
